"address"
		
	东陵区东陵南街7号	
	东陵区东陵西路46号	
	东陵区东陵路123号	
	东陵区东陵路北侧（沈阳农业大学院内）	
	东陵区丰乐二街东侧	
	东陵区富家村	
	东陵区文富北路北侧	
	东陵区文萃路(南侧部分用地)	
	东陵区文萃路185号	
	东陵区文萃路北侧	
	东陵区方南路	
	东陵区方南路19号	
	东陵区方家栏路32号	
	东陵区方家栏路北	
	东陵区方文路2号	
	东陵区望花中街东	
	东陵区桃仙镇荒山子村	
	东陵区浑河堡村沈营公路西侧	
	东陵区满堂乡上木村	
	东陵区白塔堡镇东堡高三家村	
	东陵区白塔堡镇白塔村	
	东陵区白塔镇塔北村	
	东陵区白塔镇塔南村	
	东陵区第三粮库东侧	
	东陵区长青街149号	
	东陵区长青街54号	
	东陵区长青路9号	
	中心区42号-2地块	
	于洪区	
	于洪区北李官村	
	于洪区北陵乡下坎子村	
	于洪区北陵乡大韩村	
	于洪区北陵乡小韩屯村	
	于洪区千山西路南	
	于洪区南阳湖街东侧	
	于洪区和平村	
	于洪区大潘镇小潘村	
	于洪区大潘镇沈辽公路北侧	
	于洪区太湖街西侧	
	于洪区川江街东侧	
	于洪区巢湖街东侧	
	于洪区怒江北街	
	于洪区昆山西路南侧	
	于洪区杨士乡汪家村	
	于洪区杨士街道汪家地区	
	于洪区柳条湖街	
	于洪区柳条湖街西侧	
	于洪区汪家地区	
	于洪区洪湖路南侧	
	于洪区白山路	
	于洪区辽西路63号	
	于洪区造化镇郭大桥村	
	于洪区金山路91号	
	于洪区铜山巷南侧	
	于洪区银山路北侧	
	于洪区长江北街	
	于洪区鸭绿江东街	
	于洪区鸭绿江街东侧	
	于洪区鸭绿江街西	
	于洪区黄河北大街96号	
	于洪区黄海路85号	
	于洪区黑山路	
	于洪区龙首山路南	
	于洪新城76号地块	
	于洪新城内3#、4#、5#地块	
	兴虎街东侧	
	和平区中华路南12号	
	和平区十三纬路北侧	
	和平区南五经街东侧十三纬路南侧	
	和平区南五马路同泽街四段	
	和平区南京北街东侧	
	和平区南十马路北侧	
	和平区太原北街	
	和平区小桥巷西侧	
	和平区市府大路55号	
	和平区泰兴街4号	
	和平区长白4#地块	
	和平区长白地区1#地块	
	和平区长白地区1#地块(长白西路北)	
	和平区长白地区1#地块（长白西路北）	
	和平区青年大街390号	
	和平区青年大街西侧	
	大东区50中学西侧	
	大东区东北大马路169号	
	大东区东北大马路337号	
	大东区东北大马路南侧	
	大东区东站街沈铁路51号	
	大东区东贸路20号	
	大东区东边城街西侧	
	大东区八王寺街	
	大东区八王寺街东侧	
	大东区凯翔一街37号	
	大东区北海街南侧	
	大东区南卡门东路北侧	
	大东区南卡门东路南侧	
	大东区合作街西侧	
	大东区大北关街西侧	
	大东区小什字街	
	大东区工农路134号	
	大东区机校街西侧	
	大东区沈铁路59号	
	大东区沈铁路西侧	
	大东区沈铁路西侧（5#地块2期）	
	大东区沈铁路西侧（5#地块）	
	大东区老瓜堡西路	
	新城子区中央路南	
	新城子区尹家乡尹家村101国道西	
	新城子区杭州路南、金星街西	
	新城子区正义四路南侧	
	新城子区虎石台兴胜街西侧	
	新城子区虎石台镇兴明街东	
	新城子区道义开发区京沈街51号	
	新城子区道义街京沈北街126号	
	新城子区道义镇政府北侧101国道西	
	新城子福州路南、金星街东	
	沈河区北站东二路18号	
	沈河区山东堡路	
	沈河区市府大路	
	沈河区市府大路290号	
	沈河区府前巷北	
	沈河区惠工街217号	
	沈河区敬宾街5号	
	沈河区文化路72号	
	沈河区青年大街苗圃	
	沈阳农业高新区	
	沈阳农高新三洼社区	
	沈阳市东陵区南塔街道后桑林子村	
	沈阳市于洪区黄河北大街	
	沈阳市和平区南京南街164号	
	沈阳市和平区长白地区C4地块(长白西路南侧)	
	沈阳市大东区东逸街	
	沈阳市大东区北海街东	
	沈阳市大东区北海街东、东北大马路北（部分用地）	
	沈阳市浑南新区五三乡浑河堡村	
	沈阳市皇姑区西江街，太白山路南(部分用地)	
	沈阳市铁西区北二中路11号	
	沈阳市铁西区景星南街104-1号	
	沈阳市铁西区沈辽路22甲	
	沈阳浑南产业区02-3地块	
	沈阳浑南新区E42号-3地块	
	沈阳经济技术开发区14号街	
	沈阳经济技术开发区六号路10甲3号	
	沈阳经济技术开发区沈辽西路20号	
	沈阳辉山农业高新区	
	沈阳辉山农业高新区冯道社区	
	沈阳辉山农业高新技术开发区达莲社区	
	沈阳道义开发区正义四路六号	
	浑南产业区11号-1地块	
	浑南产业区60、61、62地块	
	浑南产业区西区16-19号地块	
	浑南新区C20号-2地块	
	浑南新区F-18号-2地块	
	浑南新区F4号-3地块	
	浑南新区中心区38、39号地块	
	浑南新区中心区42号-1地块	
	浑南新区中心区D13号地块	
	浑南新区中心区E42号-4地块	
	浑南新区产业东区04号-1地块	
	浑南新区产业东区16号-1地块	
	浑南新区产业区13号-1地块	
	浑南新区产业区8号-1地块	
	浑南新区产业区西区48号地块	
	浑南新区产业区西区79号-5地块	
	浑南新区古城子供销社地块	
	皇姑区三台子开发区方溪湖村	
	皇姑区三洞桥地区长江街东侧	
	皇姑区大渡河街西岐山中路南(部分用地)	
	皇姑区天山路南	
	皇姑区宁山西路22号	
	皇姑区崇山中路77号	
	皇姑区怒江街西侧	
	皇姑区昆山中路47号	
	皇姑区涟水街东(部分用地)	
	皇姑区西江街东侧	
	皇姑区长江街134号	
	皇姑区阳山路1号	
	皇姑区陵北街东侧	
	皇姑区黄河南大街78号	
	皇姑区黄河大街104号	
	皇姑区黄河大街西（部分用地）	
	经济技术开发区2号街3号	
	经济技术开发区7号街10甲3号	
	经济技术开发区七号街21号	
	经济技术开发区八号街3甲1号	
	经济技术开发区四号街1号	
	经济技术开发区沧海路1号	
	苏家屯区丁香街166号	
	苏家屯区佟沟乡胜利村	
	苏家屯区大盛路北	
	苏家屯区枫杨路北	
	苏家屯区桂花街砂柳路北	
	苏家屯区王纲堡乡新开河村	
	苏家屯区玫瑰街路东	
	苏家屯区白松路南侧	
	苏家屯区百合一街东	
	苏家屯区红菱镇北红村	
	苏家屯区金宝台村	
	苏家屯区陈相镇塔山路北	
	苏家屯陈相镇凤山路3号	
	辉山农业高新区	
	辉山农业高新区人和街１０８号	
	辉山农业高新区冯道社区	
	辉山农业高新区新城路56号	
	道义经济开发区京沈街50号	
	道义经济开发区正义四路6号	
	道义镇101国道西平望公路南北	
	金融商贸开发区2003-059号地块	
	铁西区云峰北街15号	
	铁西区云峰北街58号	
	铁西区保工北街16号	
	铁西区保工北街18号	
	铁西区保工北街42号	
	铁西区兴华北街34号甲1	
	铁西区兴华南街46号	
	铁西区兴华南街5号	
	铁西区兴工北街64号	
	铁西区兴工北街72号	
	铁西区兴顺街234号	
	铁西区勋业三路19巷	
	铁西区勋业五路9号	
	铁西区北一东路45号	
	铁西区北三东路17号、19号	
	铁西区北三东路6号	
	铁西区北二东路17-2号	
	铁西区北二中路	
	铁西区北四东路44号	
	铁西区北四中路19号	
	铁西区北四中路8号	
	铁西区南九中路70号	
	铁西区南六西路2号	
	铁西区小六路21号	
	铁西区建设东路29号	
	铁西区沈辽路47号	
	铁西区红粉路1号	
	铁西区腾飞二街16号	
	铁西区腾飞二街53号	
	铁西区腾飞二街58号	
	铁西区艳欣街52号	
	铁西区艳粉街2号	
	铁西区重工北街71号	
	铁西区齐贤北街12号	
	铁西区齐贤北街22号	
""
#1-#12
#212#214#216#218#220
(自编门牌号)从化市经济开发区回归路14号怡景楼C栋
(长春新区)北湖科技开发区光机路以南，中科大街以东，广汇路以北，丙一街以西
(长春新区)北湖科技开发区盛德大街以西、明斯克路以北
(长春新区)高新技术产业开发区超达大路以北、创建街以西、平新路以南
"0"
"1"
"101-115、201-212"
"102国道以北，乙四路以西"
"102国道以南，临河街以西，乙八路以北，规划路以东"
"14-24、45-66号楼及6-10号地下室"
"150中学以西，甲三路以东，通阳路以北"
"16号"
"1、2、3号"
"2014-05-09"
"21-28号"
"2栋商业楼、9栋、10栋"
"308国道西、贾村村东、规划建华大街两侧"
"308国道西、贾村村东，规划建华大街两侧"
"4、5、9、10栋"
"4号、12号"
"4栋"
"60号楼，61号楼，62号楼，63号楼"
"6号街17甲1号"
"6号街八甲1号"
"6幢至12幢"
"8、9号（自编号G6、G7栋）"
"8号街6甲3号"
A1、A2栋
A地块：南京市浦口区浦滨路203号；B地块：南京市浦口区江淼路89号
C1区二期5号楼
C2区一期3#楼（1-3栋）
C3、C4、S6栋
D1~D49
一德路488号、晏公街34号、36号
一心街4号
一心街5号
一心街8号
一汽13、14B街区
一汽五十四街区B区
丁三十三路以东，景阳大路以南，乙三路以西，景阳南路以北
丁墙村
丁墙路
丁香街碧桂园凤凰城南地块
七贤街16号1室-27室、31室、37室-74室、78室、87室、91-110室
七里河南侧，银焰路北侧，安林路西侧
七里河大街以东、九袱洲路以南
七里河大街以东、九袱洲路以南A5地块
七里河大街以东、九袱洲路以南C2地块
七里香街1、3、5、9、11号（金沙洲B3735F01地块）
万博一路201号地下室
万博三路38号
万寿路151号
万惠二路81号、万博二路180号
万泉东巷21号
万泉二路南侧
万福街58号
万福路与京杭北路交会处向北约100米
万福路与京杭路交汇处
万科红郡花园10幢
万荟一街14-28号（双数）、52-60号（双数）
万荟一街90号
万荟一街＃30－＃50（双数）
万荟二街2号、4号
三东大道3号
三元里大道1220号，1220号之一至五，1222号，1222号之一至四，1224号
三好街
三期一街1～12号，二街1～8号，三街1～11号
三期七街、三期九街
三湾湿地公园东门向南300米
上城东街1号、上城东街3号、上城东街5号
上城东街8号、上城东街6号、上城东4号、上城东街2号
上城路4号
下九路39号-55号（单号），55号之一至55号之六
下关区三叉河南街
下关区二板桥351-471号
下关区姜家园90号
下关区安怀村453号
下关区安怀村460-1号地下车库
下关区幕府山街道
下关区幕府西路88号
下关区建宁路8号
下关区张王庙1号
下关区新河一村1号
下关区淮滨路2号
下关区郑和南路88号
下渡路51-57号地段
下渡路东侧地段
世纪大街以东，小河沿子河以北
丙三路以南、丙二路以北、丙三街以东、乙一路以西
丙二十四路以东、丙二十九路以南
丙五十六路以东
丙十七路以北、临河街以东、中国移动吉林公司总部及IDC数据中心以西、水系以南
丙十七路以北、临河街以东、中国移动吉林公司总部及IDC数据中西以西、水系以南
丙十七路以北，临河街以东，中国移动吉林公司总部及IDC数据中西以西，水系以南
东三庄街18号
东三教街6号
东三教街西、仓顺路南、留村西街东、仓盛路北
东二环东、槐安东路南
东二环以西槐南路以北
东二环路东、和平东路北
东华东路367号
东华南路96号～100号(双)
东华西路永安横地段
东南湖大路88号
东南湖大路以北、昆山路以南、金川街以西、临河街以东
东南湖大路以北，东环城路以西。
东南湖大路以北，昆山路以南，金川街以西，临河街以东
东圃二马路65号、65号之一、65号之二、65号之三
东圃镇珠村中山大道以南
东坝镇胥溪路9号
东境一街1号、3号
东天街以东、伊通河以西
东妙峰庵
东宇大厦
东宝路88号
东屏镇常溧路南、文化中心西
东屏镇金山路95号
东屏镇金山路9号
东山区东华西路242-258号
东山区东风东路858号广州钟厂（地块一、三）
东山区农林下路、现电车站北侧
东山区建设五马路十二至十四巷29、30号
东山区环市东路、水荫路东、空军大院南边
东山区越秀南路、文明路交界路段
东山街道万福路9号
东山街道上元大街395号
东山街道宏运大道2298号
东岗路168号
东岗路295号
东岗路299号
东岗路46号
东岗路8号副1号
东岗路与谈固大街东北角
东岗路北、东二环西
东岗路南、谈固东街东
东岭街以东、繁荣路以北
东平路以北、东盛大街以西、和顺五条以东
东方城
东方夏湾拿花园巴哈马二期3段
东方曼园北侧
东晓南路1275号至1299号（单号）；盈丰路10号至30号（双号）、盈丰路30号之1至之8号
东晓南路1290号、锦悦街1号
东景德巷
东朝阳路牡丹胡同4号
东横街88号
东沙街28号至38号(双号)、沙地直街21号至23号(单号)
东涌镇美的星耀南街1号
东滨河路134号
东环城路与公平路交汇处
东环城路东，岭东路北
东环城路以东
东环城路以东、东荣大路以南、新开西街以西、丙九路以北
东环城路以西、珠海路以北、威海路以南
东环街东艺路26号
东环街市广路232号富豪山庄上林苑1座1梯、2梯；2座1梯、2梯，地下室
东环路123号
东环路123号沿街裙楼
东环路242号之一、东环路242号之二
东盛大街
东盛大街25号
东盛大街2811号
东盛大街666号
东盛大街918号
东盛大街与岭东路交汇
东盛大街以东
东盛大街以东、荣光路以南、民丰大街以西、同兴路以北
东盛大街以东，公平路以南
东盛大街以西、吉林大路以北、和顺北四条以东、启新胡同以南。
东盛街#12——#24[双]
东纬路23#
东至:平山西路，南至:居民庄台，西至:二期项目，北至:双塘路
东至丁二十街，西至丁二十二街，南至丙四十六路，北至丙四十五路
东至丙三十三街、西至丙三十二街、南至丙五十路、北至丙五十一路
东至临河街，西至防护绿地，南至福祉大路，北至净乙一路
东至其他规划用地、西至擎天树街、南至锦竹西路、北至福祉大路
东至农安北街、南至柳影路、西至青年路、北至十五中南墙
东至华康街、西至南湖中街、南至华远路、北至华庆路
东至华汇路，南至北湾营街，西至开城路，北至丹霞街。
东至基隆路，西至军需大学，南至新竹北路，北至青林南路
东至大业路，南至规划龙南大道，西至规划知和路，北至规划金港西路
东至小区一街、南至富民大街、西至项目用地、北至哈大高铁
东至小南街，南至原住宅小区，西至亚泰大街，北至长铃公司现状围墙
东至开六街、南至莲花山大路、西至林溪大街、北至雾九路
东至清江南路，南至集慧路，西至清河路，北至汉中门大街
东至西环城路、南至隆化路、西至规划路（乙一路）、北至迎宾路
