address,building_code,city_name,developers_name,issue_code,issue_date,newest_name,open_date,property_type,rooms_url,sale_address
杭州市·钱塘区·天街旁·地铁7号线启成路站往西约800米。,"11幢,9幢",杭州市,杭州滨耀置业有限公司,杭售许字(2022)第003018号,2022-06-22,湖悦岚湾,2022-06-25,住宅,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm,杭州市·钱塘区·北二路与青西二路交叉口
南苑街与新丰路交叉往南100米。,10,杭州市,杭州骏熠置业有限公司,临平售许字（2022）第ZJ00271号,2022-06-24,鼎瑚未来云城,2022-06-24,住宅,http://www.tmsf.com/newhouse/presell_330184_1691738300_12686730.htm,
拱墅区通益路与祥园路交叉口,"3,7,6",杭州市,杭州兆顺房地产有限公司,杭售许字(2022)第000047号,2022-06-21,建发缦云轩,2022-06-24,住宅、商贸,http://www.tmsf.com/newhouse/presell_33_1710044699_1879755541.htm,拱墅区通益路与祥园路交叉口
西湖区蒋墩路与晴川街交叉口,"1号楼,7号楼,5号楼,4号楼,3号楼,2号楼",杭州市,杭州西投绿深实业有限公司,杭售许字(2022)第000046号,2022-06-21,云澜谷商务中心,2022-06-24,商贸,http://www.tmsf.com/newhouse/presell_33_1826732971_1878394023.htm,西湖区蒋墩路与晴川街交叉口
杭州市临安区科技大道,"96,94,95,98,93,97,99",杭州市,临安西子房地产开发有限公司,临售许字（2022）第ZJ00282号,2022-06-23,如沐清晖城,2022-06-23,住宅,http://www.tmsf.com/newhouse/presell_330191_1681864584_7025578.htm,杭州市临安区科技大道青山湖玫瑰园
临安区圣园路银城青山湖畔营销中心（中都青山湖畔大酒店西侧）,"19,18,25",杭州市,浙江临安中都置业有限公司,临售许字（2022）第ZJ00281号,2022-06-23,青山湖畔御庭园,2022-06-23,住宅,http://www.tmsf.com/newhouse/presell_330191_1205413917_7025357.htm,临安区圣园路银城青山湖畔营销中心（中都青山湖畔大酒店西侧）
,"3,22,21,20,19,18,17,16,15,14,13,12,9,8,5",杭州市,杭州宸泰房地产开发有限公司,桐售许字（2022）第ZJ00280号,2022-06-23,城市蓝湾,2022-06-23,,http://www.tmsf.com/newhouse/presell_330188_1468969367_8858329.htm,
萧山区衙前镇衙南路与农运路交叉口西北侧,"开闭所,2",杭州市,华凌置地（杭州）有限公司,萧售许字（2022）第ZJ00278号,2022-06-22,锦上悦华里,2022-06-22,住宅,http://www.tmsf.com/newhouse/presell_330181_1692263955_25461822.htm,萧山区衙前镇农运路与衙南路交叉口锦上悦华里营销中心
东、南至规划道路，西至大桥南路，北至规划同登路。,"3,8",杭州市,杭州鸿扬投资管理有限公司,富售许字（2022）第ZJ00279号,2022-06-22,沁悦宸轩,2022-06-22,住宅,http://www.tmsf.com/newhouse/presell_330187_1702881111_4337271.htm,
富阳市高桥镇勤丰村,"27,22,21,19,20,23,24,25,26",杭州市,杭州金宇房地产开发有限公司,富售许字（2022）第ZJ00277号,2022-06-22,云水山居,2022-06-22,住宅 别墅,http://www.tmsf.com/newhouse/presell_330187_23403567_4337224.htm,富阳市高桥镇云水山居
临安高虹大街3号,"9,3,2",杭州市,杭州博临房地产开发有限公司,临售许字（2022）第ZJ00276号,2022-06-22,桃语春福里,2022-06-22,住宅,http://www.tmsf.com/newhouse/presell_330191_1810703233_7025431.htm,临安高虹大街3号
临安区马溪路与武肃街交叉口,"18,21",杭州市,杭州越嘉房地产开发有限公司,临售许字（2022）第ZJ00274号,2022-06-22,归悦里,2022-06-22,住宅,http://www.tmsf.com/newhouse/presell_330191_1361921313_7025367.htm,临安区马溪路与武肃街交叉口
