高新万达广场	工业南路与会展东路交汇处	117.1277760,36.6842760
德才里	河西-马场街-吴家窑大街57号增1号	117.1826570,39.0998790
绿地香奈	绿杨路9号	119.8599390,31.7038190
碧桂园KCC云南映象	穿金路与铂金大道交汇处	102.7546710,25.0823770
澄波湖7号	济阳县开元大街与澄波湖东路交汇处东	117.1590790,36.9752590
绿地中央广场	东葛路延长线161号	108.3756460,22.8316180
众一阅景臺	昌东大道6899号	115.9892500,28.6780990
亲亲家园	三墩镇以北古墩路延伸段，董家路与古墩路交叉口	120.0876990,30.3319040
欣龙江南府	诸暨市暨南街道金兴路88号（街亭小学正对面）	120.2897360,29.6452480
富雅云岭	武隆仙女山新区银杏大道1号查看地图	107.7695220,29.4065110
华鑫现代城	济北正安中路223号（正安中路与富阳街交汇处济北小学南200米）	117.1774820,36.9661930
永兴-一品	迎宾大道永兴.一品	104.0715580,30.6337050
海埂悦府	红塔东路与广福路辅路交汇处西南向	102.6820370,24.9752440
华元溪山华庭	奉化区溪口镇中兴东路388号、弥勒北路188号	121.2946950,29.6940660
绿地江西金融产业园	绿地大道888号(麻丘公交站附近）	116.0748700,28.6735510
华茂水汀湖里	连心路199号	121.6464260,29.7912910
东一华庭	象山新丰路丹阳路交叉口东南角	121.8787180,29.4545540
中商两江公馆	江北鱼嘴镇永和路（和韵家园旁）	106.7618330,29.6228330
太白熙岸-汤巢	宝鸡市秦岭·太白山国际旅游度假区·汤峪二路（逸景营地对面）	108.9922370,34.2602360
联泰时代总部中心	龙湖龙湖珠港路与武夷山路交界东南角查看地图	116.7912120,23.3510590
联发尚筑	金川路20号（金源汽车城东面）	108.3683340,22.8663290
融创淮海壹號	泉山区西三环路融创淮海壹号	117.1380120,34.2701180
鑫源一品	中兴路与博陵街交叉口西行800米路南	116.0785280,39.2588000
新城金科桃李郡	渝北中学旁	106.6323520,29.7581290
富贵第一城	运河街道办事处世纪大道北侧、市公安局西	117.9599090,34.3313240
新鸿-光悦里	南雷南路与黄山西路交汇处	121.1574380,30.0191900
永泰-泰禾红峪	旗山路	118.9655650,25.8652490
上东原筑花园	东莞市东坑镇新门楼村	113.9488470,22.9963280
北科建翡翠华庭	京密路辅路与怀杨路交叉口东侧100米	116.6546140,40.3105400
东关珺府	坪山区坪山马峦街道江岭路与比亚迪路交汇处	114.3594900,22.6849850
中企艮山府	运河东路中企艮山府	120.2170960,30.2799810
新力鸿园	青云谱区广州路与城南大道交汇处	115.9463130,28.6202460
松江区洞泾镇新农河三号-1地块	东至李家弯路，南至长兴路，西至陆家圈路，北至蔡家浜路	121.2808240,31.0860140
天成花苑	通海路602号	121.5981570,37.3777380
青橙时代	海尔大道与齐长城路交汇处	120.1461160,35.9883910
融创德信-江山云起	江滨东路与杨府山西路交叉口向南100米	120.7081980,28.0150290
希望棋子湾	昌江昌化镇广德路希望棋子湾查看地图	109.4959740,18.2579490
领地天屿	科学大道与京城路交叉口南300米	113.4123490,34.8104580
凰冠壹号	凤岭路陈家坡２号（长寿汽车站附近）	107.0801950,29.8342090
大美公寓	玩月街大美公寓	120.3072010,30.4049480
东城印象	新塘路(南为景芳六区,北至规划严家弄路)	120.2076500,30.2732000
星河广场	金东路星河广场	114.9154400,25.8447790
南郡明珠	中意二路527号（107国道大托收费站南800m牛角塘村）	112.9762340,28.0371830
恭和家园	双园路19号院	116.5708490,39.8948160
云星钱隆天下	竹溪大道26-2号	108.3655610,22.7977160
特房康乐新村	南山路195-197号	118.1103070,24.5050930
德盛尚峰	石大公路德盛尚峰	113.8554420,23.0702360
新城悦隽	龙溪龙桥大道曼亨顿酒店旁	114.1196550,23.1351420
沙河观景阁	沙河东路与新中路交汇处	113.9669310,22.5437970
宝能睿城	邗江扬子江北路汽车城向北500米（创智湖畔）查看地图	118.7364170,32.2262190
云上金铭府	华虹路与金秋大道交叉口	119.9115200,30.0506700
锦里1936	天宁区劳动中路与丽华北路交汇处	119.9807360,31.7624900
上铁银欣花园	合欢路与香樟大道交叉口	117.1947290,31.8241420
知春里	海淀知春路路口以南约70米路东	116.3208360,39.9764660
雅居乐万科热橙	机场高速花山出口雅居乐万科热橙	113.2794660,23.4418340
盛佳锦绣家园	石栾大街与裕泰路交口西南角	114.6348430,37.8965760
浏阳湾田和悦家园	浏阳市道吾山西路与胡家路交汇处东南角（新人民医院斜对面）	113.6277220,28.1588730
保利-时光印象	章贡区滨江路奥特莱斯旁	114.9457780,25.8021440
天地壹号	光福苏福路与邓尉山路交汇处（光福镇政府东北侧）	120.3925060,31.2822670
澜轩居	稻地镇政府东侧	118.1957670,39.5413030
大和金甸园	邗江区瘦西湖路北段钢材市场向北200米	119.4398270,32.4457550
坤泰云著	葫芦岛·龙湾CBD·海晏南路（市图书馆斜对面）	123.4358950,41.7600470
华润中央公园	人民西路1号（人民路与中心路交叉口）	118.0601880,36.8102420
新华东里	滨海新区-新港-新华路	117.6757700,39.0111070
北辰朗诗南门绿郡	天府三街与康华路交汇处南侧	104.0342050,30.5458430
海韵苑	南山东海黄金海岸	120.4377890,37.7318040
丽水雅苑	北京路丽水雅苑	102.7421470,25.1067410
恒地橡树湾	邳州市文苑路与中山路交汇处	117.9962420,34.3177820
功夫小镇	南沙区上隆岭路1号真功夫总部大楼	113.5471310,22.7948460
幸福时代	百步亭花园路160到162号	114.3134720,30.6558140
郦国温泉花园	县城老昆石公路水立方对面	103.1590660,24.9178950
中辉外滩	九瑞大道与都昌路交汇处	115.9342920,29.7015070
盛益华苑	长安体育北大街与谈北路交口西南角	114.5324540,38.0509460
书馨花苑	龙华区海口市苍峄路与椰海大道交汇的东北角查看地图	110.3232130,19.9761550
博捷名苑	冬融路245弄（张杨北路、航津路口）	121.5890330,31.3310170
翡翠公园	文昌路与人民路交会处北700米	119.7485930,32.5604640
金华园	石标路63号	106.6350170,26.6476370
珠光云山云山壹号	广州大道北云灏街157医院地块	113.3318220,23.1935530
汇泽国际城	淮阳路与许昌路交叉口向东200米	113.3013140,34.8009420
宝铂汇光	海南省三亚市吉阳区抱坡路	109.5151840,18.3077720
水云庄园	海盐县武原镇海兴中路以北，长安北路以西	120.9460260,30.5575270
万峰城A区依云谷	简城街东城新区妇幼保健院对面	104.1004680,30.6393940
瑞麒时代	余杭运河新城勾运路和上塘高架交界处	120.1517720,30.3043790
瑞景国际	吴江吴江思贤路588号	120.6457690,31.1239740
碧桂园山湖源著	南湾路碧桂园山湖源著	121.1001930,30.6203850
港龙美的未来映	双楠大道中段奥特莱斯旁（地铁3号线龙桥路旁）	103.9354134,30.6147163
金域中央	东莞大道与黄金路交汇处	113.7205430,22.9708780
中澳滨河湾	悦来南路34号	113.3649700,22.4996070
郑州恒大嵩岳桃花源	大禹路与禅武大道交汇处	113.0167600,34.4685100
渝发-香堤澜湾	长寿桃花新城渡舟加气站前行100米(重钢朵力7号旁)	107.0776630,29.8629090
文通拾里间	曹安公路2831弄	121.3214560,31.2636880
德洲城	塘厦林村林中路1号	114.0861110,22.8368270
绿地新里璞园	济泺路与泺安路交汇处东北角	116.9949840,36.7115140
金地格林格林	大寨路与丈八北路交汇处（售楼地址：高新路电信大厦1层）	108.8721850,34.2451830
哈佛园	幸福北路与霁亭路交汇处	115.8183810,28.7059710
新苑村	长兴街94号	120.6226190,31.2645480
禹洲蜀山项目	通惠路西侧，规划南三路南侧，姚江河北侧，王有史直河东侧	120.2804430,30.1362130
重庆师范大学师大园	沙坪坝-大学城-大学城西路36号	106.2940150,29.6106240
培峰苑	金稻田路与禾坑路交汇处	114.1255270,22.5875720
依云温泉小镇	红兴路802号	123.1750060,41.9181790
京投总部广场	荷花路与圣贤路交汇处	116.5898895,35.3527565
中海景阳公馆	绿园区南阳路与西环城路交汇处西行800米	125.2403580,43.8755460
中大水墨兰轩	芳草路66号	114.2099540,30.5447380
美的广场	南国东路（顺峰山公园正门对面）	113.2752550,22.8284060
香河国际	九龙西城陶家开发区（九龙桥温泉度假酒店旁）	106.3469700,29.3585700
世茂璀璨倾城	官渡区箱子公园路与锦西路交口西北侧	102.7282510,24.9823410
佳兆业浣溪璞园	阳逻柴泊大道附近	114.6165010,30.6882350
湖悦天境	娇山湖畔地铁3号线钱江路站旁	117.1620040,34.1580300
金科中央御院	米兰大道320米处（雷家桥水库旁）	106.6275500,29.4757500
合肥院子	西二环董铺路与四里河路交口（董铺路999号）	117.2132070,31.8912380
德信上城	中兴大道与丰桥港交汇处	120.1546480,30.8727860
地铁锦上花园	龙岗大道地铁六约站东南侧	114.1792590,22.6335740
星晨时代豪庭	桥南福景路729号（禺山高级中学南面）	113.3523580,22.9194440
泰达MSD-佰席	第一大街与新城西路交口	117.7063080,39.0232990
蓉湖山水	暂无	120.2665590,31.5967070
理想028	中和大道与新成仁路交汇处（御廷上郡对面）	104.0925000,30.5511000
万寿花园	南岸-南坪-金紫街176号	106.5645100,29.5210760
德信市心府	市心路汇德隆购物中心南	120.2669630,30.1437080
梦想家园	金山-山阳-海秀路555弄	121.3592500,30.7186010
韩建雅苑	韩村河镇政府南侧	115.9629710,39.6037840
