楼盘名	楼盘地址	楼盘经纬度	配套类型	配套标签	配套名称	配套经纬度	省名称	城市名称	区县名称	配套地址
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	淄博市第七人民医院	118.053223,36.827182	山东省	淄博市	张店区	柳泉路85号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	市七院中医门诊	118.053708,36.826348	山东省	淄博市	张店区	柳泉路85正西方向30米
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	淄博市第七人民医院	118.053951,36.826306	山东省	淄博市	张店区	
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	淄博市康复医院	118.053982,36.826294	山东省	淄博市	张店区	柳泉路77甲27号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	市第七医院	118.054599,36.826656	山东省	淄博市	张店区	柳泉路85号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	科技苑社区卫生服务站	118.051733,36.833622	山东省	淄博市	张店区	环翠路4号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	迎春苑社区卫生服务站	118.060600,36.825636	山东省	淄博市	张店区	迎春苑东一巷2甲7
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	张店区科苑街道梅苑社区卫生服务站	118.044688,36.825868	山东省	淄博市	张店区	张桓路6-27号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所	张店区科苑街道社区卫生服务中心	118.059834,36.823123	山东省	淄博市	张店区	迎春街38号附近
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	高新区华瑞园社区卫生服务站	118.060358,36.833003	山东省	淄博市	张店区	魏北路39号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	华瑞园社区卫生计生服务室	118.060405,36.833029	山东省	淄博市	张店区	华瑞园
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	淄博丽人医院	118.047595,36.820418	山东省	淄博市	张店区	华光路81号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	瑞苑社区卫生服务站	118.049665,36.818946	山东省	淄博市	张店区	柳泉路西三巷58号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	淄博四季青医院	118.041428,36.828633	山东省	淄博市	张店区	联通路74甲8-1号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;三级甲等医院	淄博市中心医院北院区住院部	118.051996,36.818359	山东省	淄博市	张店区	柳泉路55淄博市中心医院北院区内
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	淄博瑞生医院	118.040809,36.828672	山东省	淄博市	张店区	联通路76号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;三级甲等医院	中心医院北院区办公楼	118.051325,36.817759	山东省	淄博市	张店区	柳泉路淄博市中心医院北院区
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	懒汉坊服装医院(市府东一街店)	118.057334,36.818252	山东省	淄博市	张店区	市府东一街18甲8号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	淄博国澳惠康心理康复医院有限公司(张店利心堂诊所)	118.048062,36.818210	山东省	淄博市	张店区	科苑街道办事处柳泉路西三巷5号院1号楼1楼西区
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	欣苑社区卫生服务站	118.054348,36.816441	山东省	淄博市	张店区	市府西一街7甲2
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	淄博高新区社区医院	118.051929,36.839937	山东省	淄博市	张店区	泰美路与高创北路交叉口东南200米
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	丽景苑社区卫生服务站	118.037820,36.825231	山东省	淄博市	张店区	北西五路丽景苑西侧
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	淄博广电医院	118.048349,36.815733	山东省	淄博市	张店区	柳泉路西二巷10号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	瑞景苑社区卫生服务站	118.037368,36.832189	山东省	淄博市	张店区	
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	时代名都社区卫生服务站预防接种门诊	118.043392,36.839108	山东省	淄博市	张店区	西四路与政通路交叉路口西北侧
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	科苑街道市府三宿舍社区卫生服务站	118.036084,36.824539	山东省	淄博市	张店区	北西五路15号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	市政府三宿舍社区卫生服务站	118.036022,36.824610	山东省	淄博市	张店区	北西五路15号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	淄博市市级机关医院(人民西路)	118.047769,36.814238	山东省	淄博市	张店区	人民西路24甲3号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	圣隆社区卫生服务站	118.042334,36.815415	山东省	淄博市	张店区	新世界商业街北段23号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	沁园社区卫生服务站	118.045357,36.814004	山东省	淄博市	张店区	人民路25号宏程名座B座一层东一号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	新青年社区卫生服务站	118.061697,36.841564	山东省	淄博市	张店区	新青年公寓综合楼北10号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	张钢医院	118.065991,36.815829	山东省	淄博市	张店区	金晶大道176号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	淄博张店圣诺医院	118.042855,36.813897	山东省	淄博市	张店区	人民西路29号利民大厦
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	淄博市健康管理医院	118.056487,36.811818	山东省	淄博市	张店区	西二路265号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	淄博市市级机关医院(西二路)	118.055697,36.811686	山东省	淄博市	张店区	西二路265号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	公园街道社区卫生中心	118.056129,36.811729	山东省	淄博市	张店区	西二路265号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所	张店区公园街道社区卫生服务中心	118.056122,36.811718	山东省	淄博市	张店区	西二路265号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	淄博高新华庚医院	118.062775,36.843632	山东省	淄博市	张店区	万杰路123-1号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	人东社区卫生服务站	118.063219,36.812122	山东省	淄博市	张店区	人民东路1号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;卫生院	瑞景苑美达花园社区卫生服务站	118.031115,36.831170	山东省	淄博市	张店区	科苑街道莲池中心街28甲10号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	淄博张店中鲁中医院	118.063146,36.811814	山东省	淄博市	张店区	金晶大道148号院内办公楼南楼一层102号
张店第二幼儿园公寓楼	柳泉路以西、联通路以南（齐鲁石化晴纶厂生活区院内）	118.0530320,36.8277960	医院	医疗保健服务;综合医院;综合医院	淄博市第二康复医院	118.072160,36.817604	山东省	淄博市	张店区	华光路10甲27号
