楼盘名	楼盘地址	楼盘经纬度	配套类型	配套标签	配套名称	配套经纬度	省名称	城市名称	区县名称	配套地址
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	综合医院	医疗保健服务;综合医院;综合医院	瑞安云江中医医院	120.613618,27.757858	浙江省	温州市	瑞安市	飞云街道南都花苑1幢3-4单元
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	综合医院	医疗保健服务;诊所;诊所|医疗保健服务;综合医院;综合医院	瑞宁综合门诊部	120.611147,27.752584	浙江省	温州市	瑞安市	孙桥大桥南路中国石化大桥加油站西南
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	综合医院	医疗保健服务;综合医院;综合医院	瑞安二院门诊	120.618840,27.769568	浙江省	温州市	瑞安市	飞云街道飞云西路55号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	综合医院	医疗保健服务;综合医院;卫生院	瑞安市飞云街道社区卫生服务中心	120.618825,27.769936	浙江省	温州市	瑞安市	飞云西路55号附近
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	综合医院	医疗保健服务;综合医院;综合医院	瑞安市第二人民医院住院部	120.618767,27.770010	浙江省	温州市	瑞安市	飞云西路55号附近
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	综合医院	医疗保健服务;综合医院;综合医院	瑞安二院胸痛救治单元	120.618503,27.770196	浙江省	温州市	瑞安市	飞云街道飞云西路55号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	综合医院	医疗保健服务;综合医院;卫生院	孙桥社区卫生服务站	120.610155,27.750028	浙江省	温州市	瑞安市	孙桥村孙桥社区
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	综合医院	医疗保健服务;综合医院;卫生院	瑞安市玉海街道社区卫生服务中心	120.630934,27.773121	浙江省	温州市	瑞安市	玉海街道虹桥南路318号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	综合医院	医疗保健服务;综合医院;综合医院	瑞安市人民医院分院	120.625382,27.779325	浙江省	温州市	瑞安市	解放南路76号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	综合医院	医疗保健服务;综合医院;综合医院	瑞安市红十字医院	120.625410,27.779394	浙江省	温州市	瑞安市	解放南路76号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	综合医院	医疗保健服务;综合医院;综合医院	瑞安市人民医院康复医学中心	120.625421,27.779426	浙江省	温州市	瑞安市	解放南路
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	综合医院	医疗保健服务;综合医院;综合医院	瑞安市人民医院健康体检中心	120.62479,27.779625	浙江省	温州市	瑞安市	解放南路76号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	综合医院	医疗保健服务;综合医院;综合医院	瑞安市中医院医疗服务集团玉海分院	120.629337,27.781092	浙江省	温州市	瑞安市	邮电北路
