0,city,county,lat_lng,address
鸿泰乐颐小镇,南通市,海门区,"121.426666,31.793935",江苏省南通市海门市鸿泰乐颐小镇
海门麓园,南通市,海门区,"121.123088,31.883544",江苏省南通市海门市海门
金凤花园,南通市,海安市,"120.480903,32.528146",江苏省南通市海安县金凤花园
中华园,南通市,海门区,"121.243031,31.892143",江苏省南通市海门市中华园
海门三盛-璞悦府,南通市,海门区,"121.123088,31.883544",江苏省南通市海门市海门
海门江海都会,南通市,海门区,"121.181615,31.871173",江苏省南通市海门市
公园里,南通市,崇川区,"120.863883,32.055719",江苏省南通市港闸区万科公园里
招商海门国际,南通市,海门区,"121.123088,31.883544",江苏省南通市海门市海门
长宏水岸名城,南通市,海安市,"120.437429,32.541540",江苏省南通市海安县长宏水岸名城
海湾壹号,南通市,海门区,"121.445100,32.106650",江苏省南通市海门市海湾壹号
滨湖花园,南通市,海门区,"121.377700,31.854040",江苏省南通市海门市滨湖花园
佳城御龙湾,南通市,如皋市,"120.578140,32.372402",江苏省南通市如皋市御龙湾
云起苑,南通市,海门区,"121.154911,31.876594",江苏省南通市海门市云起苑
御景园,南通市,通州区,"121.127484,32.190008",江苏省南通市通州区御景园
海门中南碧桂园,南通市,海门区,"121.252458,31.939709",江苏省南通市海门市中南
麒麟嘉苑,南通市,崇川区,"120.882461,31.996129",江苏省南通市崇川区文景嘉苑
海门中南樾府,南通市,海门区,"121.252458,31.939709",江苏省南通市海门市中南
海门上悦城,南通市,海门区,"121.123088,31.883544",江苏省南通市海门市海门
湖光映月,南通市,海安市,"120.494698,32.532260",江苏省南通市海安县湖光
江海都会,南通市,通州区,"121.072598,32.061027",江苏省南通市通州区江海
海门沁园,南通市,海安市,"120.445777,32.531045",江苏省南通市海安县华盛沁园
北宸壹号馨园,南通市,如皋市,"120.588547,32.391513",江苏省南通市如皋市馨园
京扬数码广场,南通市,崇川区,"120.900047,32.024439",江苏省南通市崇川区京扬数码广场
半岛托斯卡纳,南通市,海门区,"121.425792,31.779457",江苏省南通市海门市半岛托斯卡纳
金鼎名城,南通市,如皋市,"120.569804,32.373511",江苏省南通市如皋市金鼎名城
苏建优景美地,南通市,海安市,"120.473222,32.515131",江苏省南通市海安县苏建优景美地
北海幸福苑,南通市,海门区,"121.179408,31.905972",江苏省南通市海门市幸福苑
滨江新希望新城海名雅园,杭州市,滨江区,"120.151667,30.169379",浙江省杭州市滨江区滨江
华景川运河宸园,杭州市,拱墅区,"120.132968,30.315526",浙江省杭州市拱墅区运河宸园
万城景湖园,杭州市,余杭区,"120.198393,30.472536",浙江省杭州市余杭区景湖园
富力三江都荟,杭州市,富阳区,"119.944611,30.041204",浙江省杭州市富阳区三江
新城英冠-香悦和鸣,杭州市,钱塘区,"120.213982,30.250397",浙江省杭州市江干区钱江新城
东哲钱塘滙,杭州市,钱塘区,"120.196588,30.251630",浙江省杭州市江干区钱塘汇
宝龙城市广场,杭州市,钱塘区,"120.383892,30.311511",浙江省杭州市江干区宝龙城市广场
美达晓城天地,杭州市,钱塘区,"120.330306,30.309640",浙江省杭州市江干区美达晓城天地
富邦星座,杭州市,上城区,"120.192960,30.244212",浙江省杭州市上城区星座
理想银泰城,杭州市,余杭区,"120.301330,30.404205",浙江省杭州市余杭区理想银泰城
东方铭楼,杭州市,钱塘区,"120.333171,30.308621",浙江省杭州市江干区东方铭楼
宋都时间名座后浪,杭州市,余杭区,"120.281984,30.405787",浙江省杭州市余杭区宋都时间名座
万宝城,杭州市,余杭区,"120.284223,30.432485",浙江省杭州市余杭区万宝城
华元欢乐城小宝,杭州市,余杭区,"120.304160,30.396430",浙江省杭州市余杭区华元欢乐城小宝
杭州湾融创文旅城-凭澜居西区,杭州市,西湖区,"120.112836,30.282554",浙江省杭州市西湖区西区
